symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
METUSDT,2026-06-01 00:00:00+00:00,3.924e-05,-0.07585677,-1.076e-05
METUSDT,2026-06-01 04:00:00+00:00,3.924e-05,-0.064511076,-1.076e-05
METUSDT,2026-06-01 08:00:00+00:00,3.924e-05,-0.052818283,-1.076e-05
METUSDT,2026-06-01 12:00:00+00:00,3.924e-05,-0.041078847,-1.076e-05
METUSDT,2026-06-01 16:00:00+00:00,3.924e-05,-0.0292873,-1.076e-05
METUSDT,2026-06-01 20:00:00+00:00,3.924e-05,-0.01743804,-1.076e-05
METUSDT,2026-06-02 00:00:00+00:00,3.924e-05,-0.0055252924,0.0
METUSDT,2026-06-02 04:00:00+00:00,3.924e-05,0.00645689,0.0
METUSDT,2026-06-02 08:00:00+00:00,3.924e-05,-0.007807593,0.0
METUSDT,2026-06-02 12:00:00+00:00,3.924e-05,-0.03457374,0.0
METUSDT,2026-06-02 16:00:00+00:00,3.924e-05,-0.02239647,0.0
METUSDT,2026-06-02 20:00:00+00:00,3.924e-05,-0.010152164,0.0
METUSDT,2026-06-03 00:00:00+00:00,3.924e-05,-0.09546765,0.0
METUSDT,2026-06-03 04:00:00+00:00,3.924e-05,-0.14835869,0.0
METUSDT,2026-06-03 08:00:00+00:00,3.924e-05,-0.13534962,0.0
METUSDT,2026-06-03 12:00:00+00:00,3.924e-05,-0.12082463,0.0
METUSDT,2026-06-03 16:00:00+00:00,3.924e-05,-0.106244154,0.0
METUSDT,2026-06-03 20:00:00+00:00,3.924e-05,-0.09159775,0.0
METUSDT,2026-06-04 00:00:00+00:00,3.924e-05,-0.07687464,0.0
METUSDT,2026-06-04 04:00:00+00:00,3.924e-05,-0.062063683,0.0
METUSDT,2026-06-04 08:00:00+00:00,3.924e-05,-0.047153294,0.0
METUSDT,2026-06-04 12:00:00+00:00,3.924e-05,-0.032131422,0.0
METUSDT,2026-06-04 16:00:00+00:00,3.924e-05,-0.016985472,0.0
MEUSDT,2026-05-15 00:00:00+00:00,5e-05,0.29461887,0.0
MEUSDT,2026-05-15 04:00:00+00:00,5e-05,0.29461887,0.0
MEUSDT,2026-05-15 08:00:00+00:00,-3.43e-06,-1.040654,-5.343e-05
MEUSDT,2026-05-15 12:00:00+00:00,5e-05,0.32347238,0.0
MEUSDT,2026-05-15 16:00:00+00:00,-6.367e-05,-2.3419037,-0.00011367
MEUSDT,2026-05-15 20:00:00+00:00,-9.07e-06,-0.9957966,-5.907e-05
MEUSDT,2026-05-16 00:00:00+00:00,-1.114e-05,-0.9998062,-6.114e-05
MEUSDT,2026-05-16 04:00:00+00:00,1.989e-05,-0.26027176,-3.011e-05
MEUSDT,2026-05-16 08:00:00+00:00,5e-05,0.44188055,5.343e-05
MEUSDT,2026-05-16 12:00:00+00:00,-9.25e-06,-0.90004504,-5.925e-05
MEUSDT,2026-05-16 16:00:00+00:00,5e-05,0.47179702,0.00011367
MEUSDT,2026-05-16 20:00:00+00:00,3.16e-05,0.05609883,4.067e-05
MEUSDT,2026-05-17 00:00:00+00:00,5e-05,0.48299062,6.114e-05
MEUSDT,2026-05-17 04:00:00+00:00,5e-05,0.48299062,3.011e-05
MEUSDT,2026-05-17 08:00:00+00:00,5e-05,0.4826048,0.0
MEUSDT,2026-05-17 12:00:00+00:00,5e-05,0.44767877,5.925e-05
MEUSDT,2026-05-17 16:00:00+00:00,-0.00011824,-3.2563705,-0.00016824
MEUSDT,2026-05-17 20:00:00+00:00,-8.053e-05,-2.2199368,-0.00011213
MEUSDT,2026-05-18 00:00:00+00:00,-0.00024889,-4.2273326,-0.00029889
MEUSDT,2026-05-18 04:00:00+00:00,-0.00034531,-4.230703,-0.00039531
MEUSDT,2026-05-18 08:00:00+00:00,-0.00031317,-3.239139,-0.00036317
MEUSDT,2026-05-18 12:00:00+00:00,-0.00035094,-3.1321456,-0.00040094
MEUSDT,2026-05-18 16:00:00+00:00,-0.00014581,-1.260833,-2.757e-05
MEUSDT,2026-05-18 20:00:00+00:00,-9.904e-05,-0.8034215,-1.851e-05
MEUSDT,2026-05-19 00:00:00+00:00,-7.898e-05,-0.5956521,0.00016991
MEUSDT,2026-05-19 04:00:00+00:00,-2.136e-05,-0.06463242,0.00032395
MEUSDT,2026-05-19 08:00:00+00:00,4.11e-06,0.1747858,0.00031728
MEUSDT,2026-05-19 12:00:00+00:00,3.6e-05,0.46628267,0.00038694
MEUSDT,2026-05-19 16:00:00+00:00,-0.00012298,-0.9267137,2.283e-05
MEUSDT,2026-05-19 20:00:00+00:00,-5.88e-05,-0.32816333,4.024e-05
MEUSDT,2026-05-20 00:00:00+00:00,-8.538e-05,-0.53954667,-6.4e-06
MEUSDT,2026-05-20 04:00:00+00:00,-0.00014322,-1.0132055,-0.00012186
MEUSDT,2026-05-20 08:00:00+00:00,-0.00021107,-1.5306201,-0.00021518
MEUSDT,2026-05-20 12:00:00+00:00,-0.00017317,-1.1412202,-0.00020917
MEUSDT,2026-05-20 16:00:00+00:00,9.75e-06,0.4574719,0.00013273
MEUSDT,2026-05-20 20:00:00+00:00,-0.0001131,-0.58227444,-5.43e-05
MEUSDT,2026-05-21 00:00:00+00:00,5e-05,0.8464182,0.00013538
MEUSDT,2026-05-21 04:00:00+00:00,-6.113e-05,-0.10479436,8.209e-05
MEUSDT,2026-05-21 08:00:00+00:00,5e-05,0.8765192,0.00026107
MEUSDT,2026-05-21 12:00:00+00:00,5e-05,0.8765192,0.00022317
MEUSDT,2026-05-21 16:00:00+00:00,-0.00011259,-0.52820337,-0.00012234
MEUSDT,2026-05-21 20:00:00+00:00,5e-05,0.916227,0.0001631
MEUSDT,2026-05-22 00:00:00+00:00,5e-05,0.916227,0.0
MEUSDT,2026-05-22 04:00:00+00:00,-4.91e-06,0.44353664,5.622e-05
MEUSDT,2026-05-22 08:00:00+00:00,2.48e-05,0.7014681,-2.52e-05
MEUSDT,2026-05-22 12:00:00+00:00,5e-05,0.92618793,0.0
MEUSDT,2026-05-22 16:00:00+00:00,5e-05,0.8939667,0.00016259
MEUSDT,2026-05-22 20:00:00+00:00,-3.171e-05,0.1760358,-8.171e-05
MEUSDT,2026-05-23 00:00:00+00:00,5e-05,0.8797342,0.0
MEUSDT,2026-05-23 04:00:00+00:00,5e-05,0.86918336,5.491e-05
MEUSDT,2026-05-23 08:00:00+00:00,-7.399e-05,-0.19079298,-9.879e-05
MEUSDT,2026-05-23 12:00:00+00:00,-0.00217274,-6.0999837,-0.00222274
MEUSDT,2026-05-23 16:00:00+00:00,-0.00063091,-1.471766,-0.00068091
MEUSDT,2026-05-23 20:00:00+00:00,-0.00250574,-4.65546,-0.00247403
MEUSDT,2026-05-24 00:00:00+00:00,-0.0029047,-4.099488,-0.0029547
MEUSDT,2026-05-24 04:00:00+00:00,-0.00088129,-0.92948645,-0.00093129
MEUSDT,2026-05-24 08:00:00+00:00,-0.0005723,-0.43562567,-0.00049831
MEUSDT,2026-05-24 12:00:00+00:00,-0.00298134,-3.412131,-0.0008086
MEUSDT,2026-05-24 16:00:00+00:00,-0.00041071,-0.05792928,0.0002202
MEUSDT,2026-05-24 20:00:00+00:00,-0.0006055,-0.29481664,0.00190024
MEUSDT,2026-05-25 00:00:00+00:00,-0.00146838,-1.3487761,0.00143632
MEUSDT,2026-05-25 04:00:00+00:00,-0.00046261,-0.06607602,0.00041868
MEUSDT,2026-05-25 08:00:00+00:00,-0.00090971,-0.6133784,-0.00033741
MEUSDT,2026-05-25 12:00:00+00:00,-8.868e-05,0.41696504,0.00289266
MEUSDT,2026-05-25 16:00:00+00:00,-0.00039394,0.038812377,1.677e-05
MEUSDT,2026-05-25 20:00:00+00:00,2.18e-05,0.5599769,0.0006273
MEUSDT,2026-05-26 00:00:00+00:00,-0.00017935,0.3095042,0.00128903
MEUSDT,2026-05-26 04:00:00+00:00,-0.00030886,0.15494433,0.00015375
