time,fold,gross_pnl_bps,cost_bps,net_pnl_bps
2025-08-06 04:00:00+00:00,1,115.40030534084426,9.0,106.40030534084426
2025-08-06 08:00:00+00:00,1,-51.59030101272447,9.0,-60.59030101272447
2025-08-06 12:00:00+00:00,1,61.15829026509915,9.0,52.15829026509915
2025-08-06 16:00:00+00:00,1,-25.974764917909443,9.0,-34.97476491790944
2025-08-06 20:00:00+00:00,1,-5.567292872505616,9.0,-14.567292872505616
2025-08-07 00:00:00+00:00,1,52.571148045199905,9.0,43.571148045199905
2025-08-07 04:00:00+00:00,1,-80.11800940425785,9.0,-89.11800940425785
2025-08-07 08:00:00+00:00,1,190.42727446373485,9.0,181.42727446373485
2025-08-07 12:00:00+00:00,1,0.0,0.0,0.0
2025-08-07 16:00:00+00:00,1,-94.8156932209052,9.0,-103.8156932209052
2025-08-07 20:00:00+00:00,1,139.46740841970853,9.0,130.46740841970853
2025-08-08 00:00:00+00:00,1,286.5380362418179,9.0,277.5380362418179
2025-08-08 04:00:00+00:00,1,0.0,0.0,0.0
2025-08-08 08:00:00+00:00,1,-33.078072925610506,9.0,-42.078072925610506
2025-08-08 12:00:00+00:00,1,-77.55435120714245,9.0,-86.55435120714245
2025-08-08 16:00:00+00:00,1,49.286793255311956,9.0,40.286793255311956
2025-08-08 20:00:00+00:00,1,-69.39038046294834,9.0,-78.39038046294834
2025-08-09 00:00:00+00:00,1,-47.54277323424181,9.0,-56.54277323424181
2025-08-09 04:00:00+00:00,1,163.36905156367973,9.0,154.36905156367973
2025-08-09 08:00:00+00:00,1,152.44725340853648,9.0,143.44725340853648
2025-08-09 12:00:00+00:00,1,117.52087116233201,9.0,108.52087116233201
2025-08-09 16:00:00+00:00,1,94.39706766988608,9.0,85.39706766988608
2025-08-09 20:00:00+00:00,1,100.291961849866,9.0,91.291961849866
2025-08-10 00:00:00+00:00,1,-635.3599056532952,9.0,-644.3599056532952
2025-08-10 04:00:00+00:00,1,-141.48747571049643,9.0,-150.48747571049643
2025-08-10 08:00:00+00:00,1,135.75272084159124,9.0,126.75272084159124
2025-08-10 12:00:00+00:00,1,248.1888836064546,9.0,239.1888836064546
2025-08-10 16:00:00+00:00,1,52.68014867397097,9.0,43.68014867397097
2025-08-10 20:00:00+00:00,1,-0.6424037955113024,9.0,-9.642403795511303
2025-08-11 00:00:00+00:00,1,-63.58257450368686,9.0,-72.58257450368686
2025-08-11 04:00:00+00:00,1,149.9206981699406,9.0,140.9206981699406
2025-08-11 08:00:00+00:00,1,-37.791538072966816,9.0,-46.791538072966816
2025-08-11 12:00:00+00:00,1,0.0,0.0,0.0
2025-08-11 16:00:00+00:00,1,-6.0408917103582995,9.0,-15.040891710358299
2025-08-11 20:00:00+00:00,1,48.00972416657157,9.0,39.00972416657157
2025-08-12 00:00:00+00:00,1,-50.299069763926376,9.0,-59.299069763926376
2025-08-12 04:00:00+00:00,1,94.24857692732881,9.0,85.24857692732881
2025-08-12 08:00:00+00:00,1,54.8518993772592,9.0,45.8518993772592
2025-08-12 12:00:00+00:00,1,-132.1284129202908,9.0,-141.1284129202908
2025-08-12 16:00:00+00:00,1,-9.418217250427713,9.0,-18.418217250427713
2025-08-12 20:00:00+00:00,1,-143.01928478135343,9.0,-152.01928478135343
2025-08-13 00:00:00+00:00,1,-145.16722110855892,9.0,-154.16722110855892
2025-08-13 04:00:00+00:00,1,16.390289878456233,9.0,7.390289878456233
2025-08-13 08:00:00+00:00,1,52.62624820248888,9.0,43.62624820248888
2025-08-13 12:00:00+00:00,1,72.52622076570253,9.0,63.52622076570253
2025-08-13 16:00:00+00:00,1,180.89465188963283,9.0,171.89465188963283
2025-08-13 20:00:00+00:00,1,-2.044456028384243,9.0,-11.044456028384243
