feature,coef_mean,coef_std,coef_min,coef_max,coef_abs,coef_stability,f_mean,f_std,cs_ic_mean,cs_ic_abs,decile_0_bps,decile_9_bps,spread_bps,family,lo,hi,mu,sd,raw_skew,raw_kurt
funding_rate,-0.00682997232710477,0.005770954261848024,-0.015568820759654045,0.005969299469143152,0.00682997232710477,1.1835083102733892,0.047253646,0.99519455,-0.001582450276572044,0.001582450276572044,-3.8511066910584066,0.9129302960401282,4.764036987098535,W17_base,-0.00077029,0.0001,-7.480656582951422e-06,0.00014144144474702148,-24.50562110307485,802.1201275412094
idio_max_abs_12b,0.005982515778741799,0.00562168284630552,-0.007885613478720188,0.018573107197880745,0.005982515778741799,1.0641859283601196,0.009778423,1.0180771,-0.03504403179796296,0.03504403179796296,-5.604297915721146,7.075758120077651,12.680056035798797,new_monotonic,0.0010218273285753769,0.017272360366706756,0.004359048688610534,0.002842510414605115,7.8583592518887215,163.77395811335376
idio_vol_1d_vs_bk_xs_rank,-0.0043638803329668005,0.007353426409417487,-0.014237717725336552,0.017158396542072296,0.0043638803329668005,0.5934485626153825,-0.010273838,0.99490696,-0.040426767985132485,0.040426767985132485,-0.5319652618003147,-4.534848742434304,-4.002883480633989,W17_base,0.02083333395421505,1.0,0.519810140132904,0.2831363379955292,-0.006849625147879124,-1.1924984455108643
corr_change_3d_vs_bk_sq,0.004032905149506405,0.0038051029060409657,0.00023452789173461497,0.013711080886423588,0.004032905149506405,1.0598675644497766,1.0430293,1.9181067,0.002941807519259826,0.002941807519259826,-6.45390288666363,8.473330449973272,14.927233336636903,R3_squared,,,0.0,1.0,,
idio_ret_to_btc_48b,-0.003642911780625582,0.011733109659509612,-0.023797225207090378,0.020021900534629822,0.003642911780625582,0.3104813545889793,0.019611785,1.0158454,-0.004383639948960635,0.004383639948960635,-0.12599817459816928,11.807796228845723,11.933794403443892,new_monotonic,-0.04041800136364927,0.05053670540654241,-0.0006751642944536448,0.014669379032136026,0.8877025594314125,29.994135833668885
idio_ret_to_btc_12b_sq,-0.0030390621164406184,0.0015091766000762436,-0.006881271954625845,0.0005076475790701807,0.0030390621164406184,2.013721996674932,1.017873,1.9170309,-0.01763439910333074,0.01763439910333074,-3.523238534884616,3.0976534010115073,6.620891935896124,new_ushape_sq,,,0.0,1.0,,
idio_kurt_1d,-0.0028539287447347304,0.015446142726975481,-0.040213435888290405,0.023047344759106636,0.0028539287447347304,0.18476643620226083,0.012537855,1.0235043,-0.0050090904230723175,0.0050090904230723175,-5.5235712964227215,3.9138206215199673,9.437391917942689,new_ushape_base,-0.12036932702696634,31.866484064680105,3.006001059119983,4.742467663295594,10.977501373229732,179.9790599891467
idio_vol_to_btc_1h,-0.0025795766394003296,0.011058311793634043,-0.04057445004582405,0.014534852467477322,0.0025795766394003296,0.2332703840820729,0.008957748,1.0174137,-0.03790121844893939,0.03790121844893939,-5.885098749839262,7.3989387120808185,13.28403746192008,W17_base,0.0005258618739204812,0.007573992761968022,0.0020898431433608294,0.0012505720799717525,5.538347325760737,86.20163474311921
corr_change_3d_vs_bk,0.0017975493968697264,0.007567846940834068,-0.0076165152713656425,0.02000352554023266,0.0017975493968697264,0.2375245444210338,-0.0811452,1.0180593,0.03567817847688841,0.03567817847688841,4.130091004883543,13.182420837537888,9.052329832654346,W17_base,-0.3354343593120575,0.30292650014161965,0.0061157057445065804,0.1070008473936182,-0.2960529327392578,2.7614922523498535
idio_skew_1d,-0.0016386655340102153,0.008273713282410236,-0.024085942655801773,0.009442930109798908,0.0016386655340102153,0.19805684317028346,-0.005193927,1.023625,-0.04304427352630872,0.04304427352630872,-1.5792985000518331,5.174900163661964,6.754198663713797,new_ushape_base,-2.0125135732333925,2.6682948157892,0.05236770332260078,0.6183527728608926,2.7548001304654597,38.925244306886974
idio_kurt_1d_sq,0.0011484642137656919,0.0035656646992800324,-0.004463723860681057,0.010724046267569065,0.0011484642137656919,0.32208979548682354,1.0477182,4.5169845,-0.008193594703869335,0.008193594703869335,1.7440537772427147,3.9138206215199673,2.1697668442772526,new_ushape_sq,,,0.0,1.0,,
xs_alpha_mean_48b,0.000983765417477116,0.01112033773803584,-0.01590459607541561,0.02419268526136875,0.000983765417477116,0.0884654261994453,0.032142587,1.0289,,,6.083029767567564,17.44790609104248,11.364876323474917,new_monotonic,-0.0004882807745699965,0.0005094063723782785,-1.3353079752974635e-05,0.0001925013745161226,0.13540865360449747,0.8164015751239599
idio_skew_1d_sq,0.0005885975163255352,0.004108659176694523,-0.004312177654355764,0.011852928437292576,0.0005885975163255352,0.14325781015476455,1.0478355,2.681024,0.0019354925709243586,0.0019354925709243586,-3.7909224566631368,3.2470945440155345,7.038017000678671,new_ushape_sq,,,0.0,1.0,,
funding_rate_1d_change,0.00024407537770457566,0.011165745588483437,-0.02899804711341858,0.012360413558781147,0.00024407537770457566,0.021859299566731993,0.005180237,0.97687423,-0.0009372592854781613,0.0009372592854781613,-5.178073430369738,0.5019568996175864,5.680030329987325,W17_base,-0.00050614,0.0005117,-6.25629728708308e-07,0.00013453453025484712,1.1976343273947365,562.2521270694084
corr_to_btc_1d_sq,0.00010801655836985447,0.0055273152432990915,-0.006017697509378195,0.017234990373253822,0.00010801655836985447,0.019542319121531156,0.9737476,1.84496,-0.009373608176998161,0.009373608176998161,-2.6402600125363365,2.8064710512254036,5.4467310637617405,R3_squared,,,0.0,1.0,,
