fold,seed,alpha,return_1d,atr_pct,dom_level_vs_bk,dom_change_288b_vs_bk,bk_ema_slope_4h,corr_change_3d_vs_bk,obv_z_1d,vwap_slope_96,bars_since_high_xs_rank,idio_vol_1d_vs_bk_xs_rank,funding_rate,funding_rate_z_7d,corr_to_btc_1d,idio_vol_to_btc_1h,beta_to_btc_change_5d,funding_rate_1d_change,intercept
7,42,100.0,0.014302401,0.024370916,0.014427687,-0.02470978,0.010279293,-0.0020748414,0.04251339,-0.0322879,0.008127954,-0.0059726015,-0.012521341,0.00034233494,0.022489326,0.010431913,-0.005384245,0.007910934,0.00171396613586694
7,1337,100.0,0.012728542,0.027529355,0.01545155,-0.02310274,0.012005632,-0.0011834599,0.04282695,-0.033005122,0.008949352,-0.0048793424,-0.012340292,-0.0006309571,0.023425017,0.010952269,-0.0035081685,0.008847141,0.004441163502633572
7,7,100.0,0.012598894,0.028354323,0.014380182,-0.02476438,0.010059366,-0.0019324933,0.041697092,-0.030811463,0.008483342,-0.0043338146,-0.010987568,-9.612919e-05,0.023603361,0.0075756693,-0.0036323345,0.009099225,0.001697194529697299
7,19,100.0,0.015660534,0.028636409,0.0138944015,-0.024124617,0.01121109,-0.000102214566,0.041830454,-0.03111668,0.010179001,-0.0070284125,-0.010321581,-0.0005866353,0.021133268,0.009461995,-0.0050152084,0.007939198,0.0032791902776807547
7,2718,100.0,0.0131832035,0.027849127,0.015802914,-0.025322866,0.01031879,-0.0021713597,0.042993885,-0.031688817,0.009012875,-0.004379322,-0.014229581,-0.0008589728,0.023342699,0.008943409,-0.0033435621,0.010823708,0.004025230649858713
8,42,100.0,0.008007101,0.022334047,0.012626152,-0.020028075,0.0054093576,-0.0035236932,0.03353079,-0.02686168,0.0063268202,-0.005834435,-0.014374907,0.0022659432,0.018024033,0.011006411,-0.011592273,0.009331756,-0.0034342389553785324
8,1337,100.0,0.0078432,0.022640401,0.012987708,-0.01975869,0.0034175427,-0.004162959,0.034328997,-0.025017649,0.006417715,-0.0036002542,-0.015000759,0.00096684915,0.019190434,0.011608689,-0.011620034,0.011498776,-0.002143929712474346
8,7,100.0,0.009249082,0.022182358,0.012417264,-0.021015242,0.0040585557,-0.003791271,0.033799067,-0.026630985,0.005590133,-0.003013022,-0.013674655,0.0023456959,0.020478811,0.009314264,-0.010775045,0.008503301,-0.003040726762264967
8,19,100.0,0.012836296,0.023446104,0.014211211,-0.021629967,0.0024403355,-0.0036859165,0.03334486,-0.024828574,0.005924884,-0.0030402902,-0.012949396,0.00040350945,0.020208443,0.009245258,-0.009902253,0.010452656,-0.002079055877402425
8,2718,100.0,0.0066849715,0.023703534,0.012425167,-0.019587524,0.005256969,-0.0031560913,0.034507167,-0.026941894,0.0071962853,-0.005183444,-0.01640368,0.0036181153,0.018551743,0.009364448,-0.0114176385,0.009280323,-0.003354253014549613
9,42,100.0,0.0037930487,0.012925097,0.011806557,-0.018118428,0.0042039,-0.0029345292,0.030156616,-0.025050508,0.0040710843,-0.0014884234,-0.009219559,0.0012192484,0.017256575,0.014080854,-0.011817309,0.0077758785,-0.008465205319225788
9,1337,100.0,0.0008285345,0.0110486215,0.011117285,-0.01882933,0.0035431702,-0.001746681,0.030385232,-0.025110787,0.0034292056,-0.0016629216,-0.00894415,-0.00033295597,0.018014811,0.015609743,-0.01293444,0.008603352,-0.01016025710850954
9,7,100.0,0.00050063164,0.0137099065,0.011222448,-0.017856233,0.0032910367,-0.0043655983,0.032293066,-0.025413103,0.0036393884,-0.00096372666,-0.0080116,-0.001390232,0.019168764,0.012450469,-0.011885713,0.008829784,-0.009192348457872868
9,19,100.0,0.0017945176,0.010460368,0.01156806,-0.018221842,0.006103547,-0.003507937,0.031726632,-0.029306127,0.0035289114,-0.00057682436,-0.010969323,0.0025871051,0.018321237,0.014723975,-0.011088306,0.009202312,-0.009617416188120842
9,2718,100.0,0.0023295456,0.015270784,0.011878673,-0.017265761,0.0049216,-0.004041206,0.031755805,-0.026273202,0.004124527,-0.0019344677,-0.009534196,0.00043928955,0.017769972,0.011111021,-0.012458791,0.008796639,-0.008377478457987309
