symbol,feature,target,pearson,spearman
SOLUSDT,realized_vol_1h,alpha_7d,0.02481154283589918,0.01704725856021903
SOLUSDT,dist_resistance_20,raw,0.004368609628540097,0.017891839376473
SOLUSDT,dist_resistance_20,alpha_1d,0.009740698457903738,0.014921407509837092
SOLUSDT,dist_resistance_20,alpha_3d,0.008523306028795112,0.01335886354829844
SOLUSDT,dist_resistance_20,alpha_7d,0.011080050657791822,0.013358221235848504
SOLUSDT,dist_resistance_50,raw,0.0005266228607590215,0.019388748036969772
SOLUSDT,dist_resistance_50,alpha_1d,0.002393151252193194,0.016581647508019978
SOLUSDT,dist_resistance_50,alpha_3d,0.0004852703670408338,0.015736734752460946
SOLUSDT,dist_resistance_50,alpha_7d,0.0009083019426444458,0.013811604669577999
SOLUSDT,volume_ma_20,raw,0.003498265622314365,0.016516883444382437
SOLUSDT,volume_ma_20,alpha_1d,0.027792291287350734,0.023267067663382494
SOLUSDT,volume_ma_20,alpha_3d,0.019403125665541362,0.017535858307159
SOLUSDT,volume_ma_20,alpha_7d,0.019733170858385083,0.017410151948474735
SOLUSDT,volume_ma_50,raw,0.006553951450163539,0.01707759491218116
SOLUSDT,volume_ma_50,alpha_1d,0.028974690233715766,0.025340746454219902
SOLUSDT,volume_ma_50,alpha_3d,0.019422471739231853,0.01857156686674723
SOLUSDT,volume_ma_50,alpha_7d,0.018800655938007466,0.01801360815404826
SOLUSDT,ema_slope_20_1h,raw,-0.00967632856338448,-0.03428057071040556
SOLUSDT,ema_slope_20_1h,alpha_1d,-0.0002122496917740179,-0.021930834575335897
SOLUSDT,ema_slope_20_1h,alpha_3d,0.003034204083807085,-0.020915289293689642
SOLUSDT,ema_slope_20_1h,alpha_7d,0.00528871990630918,-0.020381931450479996
SOLUSDT,bb_squeeze_20,raw,-0.01961068230628849,-0.023922783328184073
SOLUSDT,bb_squeeze_20,alpha_1d,-0.01987641602492541,-0.01727801954398357
SOLUSDT,bb_squeeze_20,alpha_3d,-0.017984104689284425,-0.014922100868176804
SOLUSDT,bb_squeeze_20,alpha_7d,-0.014806665410295237,-0.011860912565775103
SOLUSDT,vpin,raw,0.008294980812386644,0.006708319273541775
SOLUSDT,vpin,alpha_1d,0.03317032101773228,0.025889353531187164
SOLUSDT,vpin,alpha_3d,0.03286133981367663,0.026318583646854736
SOLUSDT,vpin,alpha_7d,0.02766609319297644,0.02231589719216985
SOLUSDT,hour_cos,raw,0.04148545415828548,0.05615553200176949
SOLUSDT,hour_cos,alpha_1d,0.030311986644787764,0.046095578808972665
SOLUSDT,hour_cos,alpha_3d,0.029722028904720917,0.04618058231410466
SOLUSDT,hour_cos,alpha_7d,0.03627849415089733,0.049515227272890094
SOLUSDT,hour_sin,raw,-0.01548049791802212,-0.03134731569591865
SOLUSDT,hour_sin,alpha_1d,-0.014637960481209838,-0.021267212518802314
SOLUSDT,hour_sin,alpha_3d,-0.00817828085456807,-0.014900524773121005
SOLUSDT,hour_sin,alpha_7d,-0.005105258004416666,-0.012501495372550058
SOLUSDT,tfi_smooth,raw,-0.0028514501718272067,-0.0053853060718546545
SOLUSDT,tfi_smooth,alpha_1d,0.0024521333050193986,-0.002501311304992035
SOLUSDT,tfi_smooth,alpha_3d,0.0010393762466004983,-0.003388190359293914
SOLUSDT,tfi_smooth,alpha_7d,0.00409481963334031,-0.0014772818077763428
SOLUSDT,signed_volume,raw,-0.009684222705644946,-0.007961186033570777
SOLUSDT,signed_volume,alpha_1d,-0.004613296378834429,-0.0016173986269524064
SOLUSDT,signed_volume,alpha_3d,-0.0053188337697260704,-0.001716646168322559
SOLUSDT,signed_volume,alpha_7d,-0.005147359022396062,-0.001547334390448282
