open_time,period,macro_regime,trend_bucket,edge_bps,long_edge_bps,short_edge_bps,btc_ret_30d,model_bucket,pred_gap,long_ret3d,short_ret3d,long_trail3_resid,short_trail3_resid
2024-09-20 12:00:00+00:00,2024,side,side_up,-1714.9412975413725,-124.15963690727948,-1590.781660634093,0.0682831590668278,side|conf_hi|long_normal|short_squeeze,0.653152197599411,0.0491024287222809,0.3157658425689117,-713.2059894502163,1789.7847015410662
2025-11-24 08:00:00+00:00,2025H2,bear,bear_deep,-1710.0717358698605,-168.64947974681854,-1541.4222561230415,-0.2213871255970173,bear|conf_lo|long_normal|short_normal,0.698718786239624,-0.0088354480834386,-0.0103817374327562,-49.98162388801575,169.8430930264294
2025-02-03 00:00:00+00:00,2025H1,side,side_flat,-1687.2791096102446,-918.2983404025435,-768.9807692077011,-0.0091663882800596,side|conf_hi|long_knife|short_normal,0.8629034161567688,-0.2597629990932683,-0.2762389084212288,-1049.11498259753,-362.1435351669789
2024-05-28 04:00:00+00:00,2024,side,side_up,-1678.5075550433248,-784.9226240068674,-893.5849310364574,0.0648748595266341,side|conf_hi|long_normal|short_normal,0.7085378617048264,-0.0443901075869778,0.0933408375111325,244.7144509642385,549.6102338656783
2026-01-31 00:00:00+00:00,2026,side,side_flat,-1669.7597003076226,-1702.5116411969066,32.751940889284015,-0.0407075951619453,side|conf_hi|long_knife|short_normal,1.040491819381714,-0.2528735632183908,0.1080816506806461,-233.7441558483988,620.2329916413873
2024-04-04 04:00:00+00:00,2024,side,side_flat,-1631.318143918179,-1812.281206948683,180.9630630305037,-0.0419374910536662,side|conf_lo|long_knife|short_normal,0.5774689763784409,-0.1695969462220725,-0.1041545076065826,-385.4508511722088,50.3899558680132
2025-05-06 12:00:00+00:00,2025H1,bull,bull_mild,-1631.0353270091582,-1682.139621989336,51.104294980177656,0.1318231661638271,bull|conf_hi|long_normal|short_normal,1.16572505235672,0.0042373701217035,-0.1508458031448601,-89.09665048122406,-145.22254234179854
2024-08-10 00:00:00+00:00,2024,side,side_up,-1598.90604645625,-164.54377204354387,-1434.362274412706,0.0536262706052899,side|conf_hi|long_normal|short_squeeze,0.8303754925727844,0.0733775092574546,0.2237534280092568,143.89119547558948,-36.86710260808468
2025-06-08 16:00:00+00:00,2025H1,side,side_flat,-1592.110026977025,-747.5609605899081,-844.5490663871169,0.0331263727104433,side|conf_lo|long_normal|short_normal,0.7177086174488068,-0.0790731008122312,0.089612429188401,-301.863718777895,293.60177082708105
2025-10-13 04:00:00+00:00,2025H2,side,side_flat,-1572.9382343124598,-1073.7555846571922,-499.1826496552676,-0.0074518543719416,side|conf_hi|long_normal|short_normal,1.4689008593559263,0.1719222462203025,-0.2439035330337075,413.0554385483265,-58.45972176757641
