era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,ret_3d_c,m48,1579,167,2,0.003211356431825147,0.44030280564145086,0.005613795954739068,0.7897275305854241,-0.00329811574738621,-1.1301913419596812
rec,ret_5d,m48,1579,167,2,0.0018694968397920452,0.23728786716964811,0.003742680809391022,0.48630830700840444,0.0043846187762828295,0.9256616535068333
rec,ret_7d,m48,1579,167,2,-0.005263697440988714,-0.6705296935551925,-0.003621231137228122,-0.46853849495028244,0.0026303370544337873,0.518645283111492
rec,ret_12h,m72,1567,167,3,0.0076133401179351605,1.4384127605649013,0.011156747069191604,2.178838198429729,-0.0008163171897651417,-0.40896987329157386
rec,ret_24h,m72,1567,167,3,0.0067169637085644105,0.8889750776786634,0.010807034570272154,1.4622444475725187,0.0010981339716148275,0.5987639778806053
rec,ret_36h,m72,1567,167,3,0.006512961823304705,0.7418220686728604,0.01048560026533144,1.211033217882396,0.006222200314330879,1.667475869607267
rec,ret_3d_c,m72,1567,167,3,0.006230725295492986,0.6688711070127998,0.009047812569546735,0.9916377095957613,0.001466441622595618,0.5101336484180854
rec,ret_5d,m72,1567,167,3,0.004759064263330238,0.4847586325783673,0.007066293758754942,0.7320232968232107,0.0036671850250167724,0.6380252046246703
rec,ret_7d,m72,1567,167,3,-0.005087418339236504,-0.5126192996296199,-0.002797375382597302,-0.2873063001025391,-0.0010396404506948665,-0.16240015060742194
rec,ret_12h,r4,1601,167,1,-0.04544842413876697,-11.98525773865855,-0.042521924297676476,-11.576342225551906,0.012800390039310081,5.981140610061733
rec,ret_24h,r4,1601,167,1,-0.04654907429487656,-12.253053456922792,-0.042817731813602426,-11.614765876022965,0.021114153383319106,9.585597587047458
rec,ret_36h,r4,1601,167,1,-0.03793486247865673,-10.429702949512313,-0.034447777221481714,-9.789129545620014,0.0025542781013645336,1.0395908981668804
rec,ret_3d_c,r4,1601,167,1,-0.03273885540504667,-9.002912726754802,-0.02946608537295152,-8.384639988721883,0.0015727033966331635,0.46766926230759265
rec,ret_5d,r4,1601,167,1,-0.026010034977181587,-7.387337283732624,-0.023087039838785996,-6.845009480900753,0.0033197234658250115,1.385014928563771
rec,ret_7d,r4,1601,167,1,-0.022537018846840694,-6.176910040571248,-0.020151739414941805,-5.764191912446725,0.00391037047403812,1.5880627751756535
rec,ret_12h,r12,1597,167,1,-0.049282873435382034,-10.344701574183341,-0.04567147893467562,-9.848004354545797,0.007118363735674579,3.0024034927194987
rec,ret_24h,r12,1597,167,1,-0.052008334551359565,-9.873509438746035,-0.04709981111804377,-9.240182180767937,0.012945351149080948,6.17646040765162
rec,ret_36h,r12,1597,167,1,-0.039335238993078676,-7.443730286001067,-0.034712343248748154,-6.815216144254285,0.0031224723448468445,1.0063840716508643
rec,ret_3d_c,r12,1597,167,1,-0.03495407766349583,-6.203716318843867,-0.03056878307459792,-5.606940323592131,0.00797120656470745,2.2991311385806577
rec,ret_5d,r12,1597,167,1,-0.028339425243580216,-5.2984546681622655,-0.024705000736605743,-4.7943507831568795,0.0032279140589579454,0.9378284656400222
rec,ret_7d,r12,1597,167,1,-0.024769491047481246,-4.418848229930884,-0.021816184004429195,-4.056899116930827,0.0052775768099806745,1.411151395163702
rec,ret_12h,r24,1591,167,1,-0.045873734827333215,-8.711411181316286,-0.04175496696012801,-8.245398426262776,0.00010966655906883458,0.04751432681993537
