sym,t,fold,side,ret,pnl,win,absmove,fz,vq
PENDLEUSDT,2025-09-08 16:00:00+00:00,2,S,-0.02975483052432537,0.00991827684144179,1,0.02975483052432537,-0.5613128628669501,Q3
TAOUSDT,2025-09-08 16:00:00+00:00,2,S,-0.0178025271743536,0.0059341757247845335,1,0.0178025271743536,0.2844750830631883,Q3
ICPUSDT,2025-09-08 20:00:00+00:00,2,L,0.009888751432299614,0.004944375716149807,1,0.009888751432299614,0.8168410616867727,Q3
SUIUSDT,2025-09-08 20:00:00+00:00,2,L,0.015460927039384842,0.007730463519692421,1,0.015460927039384842,0.7856031620294952,Q2
PENDLEUSDT,2025-09-08 20:00:00+00:00,2,S,0.00965491496026516,-0.00482745748013258,0,0.00965491496026516,-0.5389944430461427,Q3
TAOUSDT,2025-09-08 20:00:00+00:00,2,S,0.01269057858735323,-0.006345289293676615,0,0.01269057858735323,0.2844750830631883,Q3
ICPUSDT,2025-09-09 00:00:00+00:00,2,L,-0.00020399836648721248,-0.00010199918324360624,0,0.00020399836648721248,0.5844182765673748,Q3
SUIUSDT,2025-09-09 00:00:00+00:00,2,L,-0.011254891753196716,-0.005627445876598358,0,0.011254891753196716,0.7847847576067827,Q2
NEARUSDT,2025-09-09 00:00:00+00:00,2,S,0.011969111859798431,-0.003989703953266144,0,0.011969111859798431,0.4457887576356562,Q2
PENDLEUSDT,2025-09-09 00:00:00+00:00,2,S,-0.01608160138130188,0.005360533793767293,1,0.01608160138130188,0.3648826708306659,Q3
TAOUSDT,2025-09-09 00:00:00+00:00,2,S,-0.004496272653341293,0.0014987575511137645,1,0.004496272653341293,0.28428165495455143,Q3
SUIUSDT,2025-09-09 04:00:00+00:00,2,L,0.04073613882064819,0.04073613882064819,1,0.04073613882064819,0.7460236406884749,Q2
NEARUSDT,2025-09-09 04:00:00+00:00,2,S,0.024036627262830734,-0.012018313631415367,0,0.024036627262830734,0.4457887576356562,Q2
TAOUSDT,2025-09-09 04:00:00+00:00,2,S,0.010490122251212597,-0.0052450611256062984,0,0.010490122251212597,0.27501676530252916,Q3
PENDLEUSDT,2025-09-09 08:00:00+00:00,2,L,-0.00656685046851635,-0.003283425234258175,0,0.00656685046851635,0.3648826708306659,Q3
TONUSDT,2025-09-09 08:00:00+00:00,2,L,-0.0003192236472386867,-0.00015961182361934334,0,0.0003192236472386867,0.4011979973968476,Q1_low
AVAXUSDT,2025-09-09 08:00:00+00:00,2,S,0.004473237786442041,-0.0014910792621473472,0,0.004473237786442041,0.399600579727285,Q2
NEARUSDT,2025-09-09 08:00:00+00:00,2,S,0.021982116624712944,-0.007327372208237648,0,0.021982116624712944,0.4457887576356562,Q2
TAOUSDT,2025-09-09 08:00:00+00:00,2,S,-0.0019320606952533126,0.0006440202317511042,1,0.0019320606952533126,0.26817936763248296,Q3
PENDLEUSDT,2025-09-09 12:00:00+00:00,2,L,-0.04134971275925636,-0.02067485637962818,0,0.04134971275925636,0.36488267083066533,Q3
TONUSDT,2025-09-09 12:00:00+00:00,2,L,-0.01743517629802227,-0.008717588149011135,0,0.01743517629802227,0.4011979973968476,Q1_low
NEARUSDT,2025-09-09 12:00:00+00:00,2,S,-0.032081663608551025,0.016040831804275513,1,0.032081663608551025,0.4457887576356562,Q2
TAOUSDT,2025-09-09 12:00:00+00:00,2,S,-0.031261738389730453,0.015630869194865227,1,0.031261738389730453,0.26817936763248296,Q3
PENDLEUSDT,2025-09-09 16:00:00+00:00,2,L,-0.006364967208355665,-0.006364967208355665,0,0.006364967208355665,-3.0986342818039736,Q3
NEARUSDT,2025-09-09 16:00:00+00:00,2,S,-0.0003766478330362588,0.0001883239165181294,1,0.0003766478330362588,0.4457887576356562,Q2
TAOUSDT,2025-09-09 16:00:00+00:00,2,S,0.0006859733257442713,-0.00034298666287213564,0,0.0006859733257442713,0.26817936763248346,Q3
PENDLEUSDT,2025-09-09 20:00:00+00:00,2,L,0.00901074055582285,0.004505370277911425,1,0.00901074055582285,-2.7321180838905126,Q3
UNIUSDT,2025-09-09 20:00:00+00:00,2,L,0.011544164270162582,0.005772082135081291,1,0.011544164270162582,0.3909117141445662,Q3
AVAXUSDT,2025-09-09 20:00:00+00:00,2,S,-0.0011538018006831408,0.0003846006002277136,1,0.0011538018006831408,0.399600579727285,Q2
NEARUSDT,2025-09-09 20:00:00+00:00,2,S,-0.004521477036178112,0.0015071590120593707,1,0.004521477036178112,0.424938606829386,Q2
TAOUSDT,2025-09-09 20:00:00+00:00,2,S,-0.001192179275676608,0.0003973930918922027,1,0.001192179275676608,0.26817936763248346,Q3
ICPUSDT,2025-09-10 00:00:00+00:00,2,L,0.004304160829633474,0.0014347202765444915,1,0.004304160829633474,0.6847693045853313,Q3
PENDLEUSDT,2025-09-10 00:00:00+00:00,2,L,-0.003745635272935033,-0.0012485450909783442,0,0.003745635272935033,-0.7505503933895827,Q3
UNIUSDT,2025-09-10 00:00:00+00:00,2,L,0.007747879717499018,0.0025826265724996724,1,0.007747879717499018,-4.1958071563030614,Q3
AVAXUSDT,2025-09-10 00:00:00+00:00,2,S,0.009818644262850285,-0.0032728814209500947,0,0.009818644262850285,0.399600579727285,Q2
NEARUSDT,2025-09-10 00:00:00+00:00,2,S,0.009841029532253742,-0.003280343177417914,0,0.009841029532253742,0.40426215375114355,Q2
TAOUSDT,2025-09-10 00:00:00+00:00,2,S,0.009429458528757095,-0.0031431528429190316,0,0.009429458528757095,0.26817936763248346,Q3
PENDLEUSDT,2025-09-10 04:00:00+00:00,2,L,0.0009983432246372104,0.0004991716123186052,1,0.0009983432246372104,-0.7192600930395072,Q3
UNIUSDT,2025-09-10 04:00:00+00:00,2,L,-0.0010389609960839152,-0.0005194804980419576,0,0.0010389609960839152,-3.4491376440559316,Q3
AVAXUSDT,2025-09-10 04:00:00+00:00,2,S,0.021772287786006927,-0.010886143893003464,0,0.021772287786006927,0.399600579727285,Q2
NEARUSDT,2025-09-10 04:00:00+00:00,2,S,-0.004872563760727644,0.002436281880363822,1,0.004872563760727644,0.40426215375114355,Q2
TAOUSDT,2025-09-10 08:00:00+00:00,2,L,-0.013650166802108288,-0.006825083401054144,0,0.013650166802108288,0.26817936763248346,Q3
UNIUSDT,2025-09-10 08:00:00+00:00,2,L,-0.0010400415631011128,-0.0005200207815505564,0,0.0010400415631011128,-2.9780696823265105,Q3
AVAXUSDT,2025-09-10 08:00:00+00:00,2,S,0.0052244653925299644,-0.0026122326962649822,0,0.0052244653925299644,0.399600579727285,Q2
NEARUSDT,2025-09-10 08:00:00+00:00,2,S,0.001129943528212607,-0.0005649717641063035,0,0.001129943528212607,0.40426215375114355,Q2
SUIUSDT,2025-09-10 12:00:00+00:00,2,L,0.024078233167529106,0.012039116583764553,1,0.024078233167529106,0.7192115268669963,Q2
TAOUSDT,2025-09-10 12:00:00+00:00,2,L,0.026273313909769058,0.013136656954884529,1,0.026273313909769058,0.26817936763248346,Q3
AVAXUSDT,2025-09-10 12:00:00+00:00,2,S,0.06522627174854279,-0.03261313587427139,0,0.06522627174854279,0.399600579727285,Q2
HBARUSDT,2025-09-10 12:00:00+00:00,2,S,0.008437175303697586,-0.004218587651848793,0,0.008437175303697586,0.7185746838295366,Q2
ICPUSDT,2025-09-10 16:00:00+00:00,2,L,-0.016204172745347023,-0.016204172745347023,0,0.016204172745347023,0.6900365949404085,Q3
AVAXUSDT,2025-09-10 16:00:00+00:00,2,S,-0.006900397129356861,0.006900397129356861,1,0.006900397129356861,0.399600579727285,Q2
ICPUSDT,2025-09-10 20:00:00+00:00,2,L,0.005558987148106098,0.002779493574053049,1,0.005558987148106098,0.6900365949404085,Q3
UNIUSDT,2025-09-10 20:00:00+00:00,2,L,0.014272320084273815,0.007136160042136908,1,0.014272320084273815,0.45668962244124905,Q3
AVAXUSDT,2025-09-10 20:00:00+00:00,2,S,0.027933744713664055,-0.013966872356832027,0,0.027933744713664055,0.3996005797272857,Q2
TAOUSDT,2025-09-10 20:00:00+00:00,2,S,0.03925858065485954,-0.01962929032742977,0,0.03925858065485954,0.26817936763248296,Q3
ICPUSDT,2025-09-11 00:00:00+00:00,2,L,0.008394758217036724,0.004197379108518362,1,0.008394758217036724,-1.6587881377442568,Q3
UNIUSDT,2025-09-11 00:00:00+00:00,2,L,0.015817584469914436,0.007908792234957218,1,0.015817584469914436,0.45668962244124905,Q3
AVAXUSDT,2025-09-11 00:00:00+00:00,2,S,0.01737675815820694,-0.00868837907910347,0,0.01737675815820694,0.399600579727285,Q2
TAOUSDT,2025-09-11 00:00:00+00:00,2,S,0.0013653818750753999,-0.0006826909375376999,0,0.0013653818750753999,0.26817936763248296,Q3
ICPUSDT,2025-09-11 04:00:00+00:00,2,L,-0.002030456904321909,-0.000676818968107303,0,0.002030456904321909,-1.5665346478070694,Q3
TIAUSDT,2025-09-11 04:00:00+00:00,2,L,0.004734261427074671,0.0015780871423582237,1,0.004734261427074671,0.23948039063397034,Q4_high
UNIUSDT,2025-09-11 04:00:00+00:00,2,L,0.0011122345458716154,0.0003707448486238718,1,0.0011122345458716154,0.45668962244124905,Q3
AVAXUSDT,2025-09-11 04:00:00+00:00,2,S,-0.03597194701433182,0.01798597350716591,1,0.03597194701433182,0.399600579727285,Q2
TAOUSDT,2025-09-11 04:00:00+00:00,2,S,0.016305427998304367,-0.008152713999152184,0,0.016305427998304367,0.26817936763248296,Q3
