symbol,fold,feature,ic
ARBUSDT,7,oiv_z_1d_n,0.015997406935811264
ARBUSDT,7,ls_count_z_1d_n,0.009978283352822298
ARBUSDT,7,ls_count_chg_4h_n,0.008105727716475702
ARBUSDT,7,ls_top_z_1d_n,0.014843562324102505
ARBUSDT,7,ls_taker_z_1d_n,0.004068110307538071
ARBUSDT,7,ls_taker_chg_4h_n,-0.0005043667251439191
ARBUSDT,8,oi_chg_1h_n,-0.00182870595098098
ARBUSDT,8,oi_chg_4h_n,-0.038971175303984036
ARBUSDT,8,oi_chg_1d_n,-0.031327837764397994
ARBUSDT,8,oi_z_1d_n,-0.0280705905862508
ARBUSDT,8,oi_z_7d_n,-0.03116557966699248
ARBUSDT,8,oiv_z_1d_n,0.006633338128173355
ARBUSDT,8,ls_count_z_1d_n,0.000252076117281814
ARBUSDT,8,ls_count_chg_4h_n,0.001983041727441795
ARBUSDT,8,ls_top_z_1d_n,0.019065673386222823
ARBUSDT,8,ls_taker_z_1d_n,0.004381585976766277
ARBUSDT,8,ls_taker_chg_4h_n,0.00042572125969797157
ARBUSDT,9,oi_chg_1h_n,-3.693207510241377e-05
ARBUSDT,9,oi_chg_4h_n,-0.037633615733059254
ARBUSDT,9,oi_chg_1d_n,-0.04545680682544585
ARBUSDT,9,oi_z_1d_n,-0.032547126911658404
ARBUSDT,9,oi_z_7d_n,-0.039920060142194284
ARBUSDT,9,oiv_z_1d_n,0.005491579376084015
ARBUSDT,9,ls_count_z_1d_n,0.0021465560023893075
ARBUSDT,9,ls_count_chg_4h_n,0.0017618110418267305
ARBUSDT,9,ls_top_z_1d_n,0.026990921557113367
ARBUSDT,9,ls_taker_z_1d_n,0.00393985939749558
ARBUSDT,9,ls_taker_chg_4h_n,0.0016369124068567834
ATOMUSDT,1,oi_chg_1h_n,0.00416617406843918
ATOMUSDT,1,oi_chg_4h_n,-0.006000103428594172
ATOMUSDT,1,oi_chg_1d_n,-0.004202942838118728
ATOMUSDT,1,oi_z_1d_n,-0.027415207798529316
ATOMUSDT,1,oi_z_7d_n,0.013327398871010912
ATOMUSDT,1,oiv_z_1d_n,0.04946317526688496
ATOMUSDT,1,ls_count_z_1d_n,0.08180456108141074
ATOMUSDT,1,ls_count_chg_4h_n,0.058019419331467835
ATOMUSDT,1,ls_top_z_1d_n,0.04652386764193677
ATOMUSDT,1,ls_taker_z_1d_n,-0.0014986813142219418
ATOMUSDT,1,ls_taker_chg_4h_n,-0.004553095639784066
ATOMUSDT,2,oi_chg_1h_n,0.007704460847150963
ATOMUSDT,2,oi_chg_4h_n,0.018612905929650075
ATOMUSDT,2,oi_chg_1d_n,0.010542524320218604
ATOMUSDT,2,oi_z_1d_n,0.007560437512672685
ATOMUSDT,2,oi_z_7d_n,0.023965263563693103
ATOMUSDT,2,oiv_z_1d_n,0.07519032116124749
ATOMUSDT,2,ls_count_z_1d_n,0.05435225874020097
ATOMUSDT,2,ls_count_chg_4h_n,0.02275538882653175
ATOMUSDT,2,ls_top_z_1d_n,0.05131566495137958
ATOMUSDT,2,ls_taker_z_1d_n,-0.004876798342572818
ATOMUSDT,2,ls_taker_chg_4h_n,-0.008290961588297861
ATOMUSDT,3,oi_chg_1h_n,0.014659874529015763
ATOMUSDT,3,oi_chg_4h_n,0.04555638471818185
ATOMUSDT,3,oi_chg_1d_n,0.007212967575358912
ATOMUSDT,3,oi_z_1d_n,0.021130912328042963
ATOMUSDT,3,oi_z_7d_n,0.03831607273198473
ATOMUSDT,3,oiv_z_1d_n,0.07290842007423279
ATOMUSDT,3,ls_count_z_1d_n,0.05455897802685644
ATOMUSDT,3,ls_count_chg_4h_n,0.010439403037454572
ATOMUSDT,3,ls_top_z_1d_n,0.04568021984787393
ATOMUSDT,3,ls_taker_z_1d_n,0.00010285566214825688
ATOMUSDT,3,ls_taker_chg_4h_n,-0.0024397700488149785
ATOMUSDT,4,oi_chg_1h_n,0.014364724399870134
ATOMUSDT,4,oi_chg_4h_n,0.03651610236116038
ATOMUSDT,4,oi_chg_1d_n,-0.0051015282951742055
ATOMUSDT,4,oi_z_1d_n,0.014222282739235377
ATOMUSDT,4,oi_z_7d_n,0.012247459948918134
ATOMUSDT,4,oiv_z_1d_n,0.06388356075675689
ATOMUSDT,4,ls_count_z_1d_n,0.041926239963746066
ATOMUSDT,4,ls_count_chg_4h_n,0.005549847740801186
ATOMUSDT,4,ls_top_z_1d_n,0.036192840274581
ATOMUSDT,4,ls_taker_z_1d_n,-0.00218278500141485
ATOMUSDT,4,ls_taker_chg_4h_n,-0.0027147275740504956
ATOMUSDT,5,oi_chg_1h_n,-0.01219488462889504
ATOMUSDT,5,oi_chg_4h_n,0.008012493495238774
ATOMUSDT,5,oi_chg_1d_n,-0.02822913322318088
ATOMUSDT,5,oi_z_1d_n,0.005789809040931037
ATOMUSDT,5,oi_z_7d_n,-0.019915790906360805
ATOMUSDT,5,oiv_z_1d_n,0.028007450749506793
ATOMUSDT,5,ls_count_z_1d_n,-0.0041514464735393905
ATOMUSDT,5,ls_count_chg_4h_n,-0.12464793947492142
ATOMUSDT,5,ls_top_z_1d_n,0.010863142097905187
ATOMUSDT,5,ls_taker_z_1d_n,-0.0069324526399814216
ATOMUSDT,5,ls_taker_chg_4h_n,-0.002736057182231948
ATOMUSDT,6,oi_chg_1h_n,-0.014144206126497088
ATOMUSDT,6,oi_chg_4h_n,-0.019147083534144214
ATOMUSDT,6,oi_chg_1d_n,-0.012230472206124717
ATOMUSDT,6,oi_z_1d_n,-0.013954305634571059
ATOMUSDT,6,oi_z_7d_n,-0.034710475594566526
ATOMUSDT,6,oiv_z_1d_n,0.0168217426615099
ATOMUSDT,6,ls_count_z_1d_n,-0.00282972370396863
ATOMUSDT,6,ls_count_chg_4h_n,-0.08902175846223899
ATOMUSDT,6,ls_top_z_1d_n,-0.008263411468010838
ATOMUSDT,6,ls_taker_z_1d_n,-0.004976969768814403
ATOMUSDT,6,ls_taker_chg_4h_n,-0.0024654783576827186
ATOMUSDT,7,oi_chg_1h_n,-0.009628160555515252
ATOMUSDT,7,oi_chg_4h_n,-0.010021501635256518
ATOMUSDT,7,oi_chg_1d_n,-0.002063366925898807
ATOMUSDT,7,oi_z_1d_n,-0.012368154901572686
ATOMUSDT,7,oi_z_7d_n,-0.023141815887747195
ATOMUSDT,7,oiv_z_1d_n,0.025617630338692944
ATOMUSDT,7,ls_count_z_1d_n,-0.008681887835938016
ATOMUSDT,7,ls_count_chg_4h_n,-0.08442939272844079
ATOMUSDT,7,ls_top_z_1d_n,-0.024428239386295944
ATOMUSDT,7,ls_taker_z_1d_n,-0.006163913911581189
ATOMUSDT,7,ls_taker_chg_4h_n,-0.0005097290863069027
ATOMUSDT,8,oi_chg_1h_n,-0.005770987940549028
ATOMUSDT,8,oi_chg_4h_n,-0.008837952692668516
ATOMUSDT,8,oi_chg_1d_n,0.023529080423325976
ATOMUSDT,8,oi_z_1d_n,-0.005380048805845569
ATOMUSDT,8,oi_z_7d_n,-0.006869182737880229
ATOMUSDT,8,oiv_z_1d_n,0.025287415604472955
ATOMUSDT,8,ls_count_z_1d_n,-0.007025016490696471
ATOMUSDT,8,ls_count_chg_4h_n,-0.07077885692662698
ATOMUSDT,8,ls_top_z_1d_n,-0.008381562251879675
ATOMUSDT,8,ls_taker_z_1d_n,-0.008934360310279952
ATOMUSDT,8,ls_taker_chg_4h_n,-0.0010181545072601556
ATOMUSDT,9,oi_chg_1h_n,-0.010456770582305614
ATOMUSDT,9,oi_chg_4h_n,-0.028611764698637906
ATOMUSDT,9,oi_chg_1d_n,0.015291119044977614
ATOMUSDT,9,oi_z_1d_n,-0.01583933138765254
ATOMUSDT,9,oi_z_7d_n,-0.008507511159900212
ATOMUSDT,9,oiv_z_1d_n,0.016395627482579424
ATOMUSDT,9,ls_count_z_1d_n,0.0014478165876507206
ATOMUSDT,9,ls_count_chg_4h_n,-0.062267793862608105
ATOMUSDT,9,ls_top_z_1d_n,-0.01082302541334848
ATOMUSDT,9,ls_taker_z_1d_n,-0.007124566051823407
ATOMUSDT,9,ls_taker_chg_4h_n,-0.000859869776001854
AVAXUSDT,1,oi_chg_1h_n,0.02074898419339629
AVAXUSDT,1,oi_chg_4h_n,-0.015107835746586477
AVAXUSDT,1,oi_chg_1d_n,-0.042275584452727534
AVAXUSDT,1,oi_z_1d_n,-0.07201266993686889
AVAXUSDT,1,oi_z_7d_n,-0.040909676171070886
AVAXUSDT,1,oiv_z_1d_n,-0.03731687844388055
AVAXUSDT,1,ls_count_z_1d_n,-0.08351797584879742
AVAXUSDT,1,ls_count_chg_4h_n,-0.06923698787819353
AVAXUSDT,1,ls_top_z_1d_n,0.007360489048710481
AVAXUSDT,1,ls_taker_z_1d_n,-0.002485897226359869
AVAXUSDT,1,ls_taker_chg_4h_n,0.0037594601721240733
AVAXUSDT,2,oi_chg_1h_n,0.009074816004449818
AVAXUSDT,2,oi_chg_4h_n,-0.010644807139173451
AVAXUSDT,2,oi_chg_1d_n,-0.011003116029677892
AVAXUSDT,2,oi_z_1d_n,-0.04749120027047385
AVAXUSDT,2,oi_z_7d_n,-0.04014108582342262
AVAXUSDT,2,oiv_z_1d_n,-0.01975366450721947
AVAXUSDT,2,ls_count_z_1d_n,-0.0482988396174967
AVAXUSDT,2,ls_count_chg_4h_n,-0.013256427193863508
AVAXUSDT,2,ls_top_z_1d_n,0.015466507056970513
AVAXUSDT,2,ls_taker_z_1d_n,-0.012255127347992901
AVAXUSDT,2,ls_taker_chg_4h_n,-0.015135070527344871
AVAXUSDT,3,oi_chg_1h_n,0.008565125596949047
AVAXUSDT,3,oi_chg_4h_n,-0.014935327800731405
AVAXUSDT,3,oi_chg_1d_n,-0.031236182408027675
AVAXUSDT,3,oi_z_1d_n,-0.038487812861217344
AVAXUSDT,3,oi_z_7d_n,-0.040443705878279536
AVAXUSDT,3,oiv_z_1d_n,-0.018175878932699112
AVAXUSDT,3,ls_count_z_1d_n,-0.008088048566760684
AVAXUSDT,3,ls_count_chg_4h_n,0.014863204727946756
AVAXUSDT,3,ls_top_z_1d_n,0.010469341361718051
AVAXUSDT,3,ls_taker_z_1d_n,-0.006848165987975331
AVAXUSDT,3,ls_taker_chg_4h_n,-0.00775170475927997
AVAXUSDT,4,oi_chg_1h_n,0.011076373299282702
AVAXUSDT,4,oi_chg_4h_n,-0.005080616963461738
AVAXUSDT,4,oi_chg_1d_n,-0.008894660067152529
AVAXUSDT,4,oi_z_1d_n,-0.02752491673067725
AVAXUSDT,4,oi_z_7d_n,-0.022417209379570858
AVAXUSDT,4,oiv_z_1d_n,-0.009685676041217317
AVAXUSDT,4,ls_count_z_1d_n,-0.010321979830661538
AVAXUSDT,4,ls_count_chg_4h_n,-0.0009304005277944417
AVAXUSDT,4,ls_top_z_1d_n,0.003574568603033223
AVAXUSDT,4,ls_taker_z_1d_n,-0.0029993553264119925
AVAXUSDT,4,ls_taker_chg_4h_n,-0.003685596275040838
AVAXUSDT,5,oi_chg_1h_n,0.009262482242299088
AVAXUSDT,5,oi_chg_4h_n,-0.014230478800099512
AVAXUSDT,5,oi_chg_1d_n,-0.0040236885022954675
