symbol,feature,same_sign_frac,mean_ic
SUIUSDT,ls_taker_chg_4h_n,1.0,-0.007856118371029022
SUIUSDT,ls_taker_z_1d_n,0.8888888888888888,-0.0028290791532466207
SUIUSDT,ls_top_z_1d_n,1.0,-0.03678232286687106
SUIUSDT,oi_chg_1d_n,1.0,-0.040417847882452784
SUIUSDT,oi_chg_1h_n,0.7777777777777778,0.007019887856245458
SUIUSDT,oi_chg_4h_n,1.0,-0.039749312721291376
SUIUSDT,oi_z_1d_n,1.0,-0.0370241555899254
SUIUSDT,oi_z_7d_n,0.6666666666666666,-0.0009514132147009053
SUIUSDT,oiv_z_1d_n,0.6666666666666666,-0.005732661861110925
TIAUSDT,ls_count_chg_4h_n,0.5555555555555556,0.0028970578304574664
TIAUSDT,ls_count_z_1d_n,0.5555555555555556,0.019470274483621562
TIAUSDT,ls_taker_chg_4h_n,0.8888888888888888,0.0050341195175515625
TIAUSDT,ls_taker_z_1d_n,1.0,0.008715346086536683
TIAUSDT,ls_top_z_1d_n,1.0,0.03669441757959355
TIAUSDT,oi_chg_1d_n,1.0,-0.08954448456873931
TIAUSDT,oi_chg_1h_n,1.0,-0.07248141035445335
TIAUSDT,oi_chg_4h_n,1.0,-0.10078929570724597
TIAUSDT,oi_z_1d_n,1.0,-0.08136313825405007
TIAUSDT,oi_z_7d_n,1.0,-0.052346988436861294
TIAUSDT,oiv_z_1d_n,0.5555555555555556,-0.009087570456863531
UNIUSDT,ls_count_chg_4h_n,1.0,-0.0522782703804866
UNIUSDT,ls_count_z_1d_n,1.0,-0.034008135004504704
UNIUSDT,ls_taker_chg_4h_n,0.6666666666666666,9.39239176885927e-05
UNIUSDT,ls_taker_z_1d_n,0.5555555555555556,-0.0006318025107843433
UNIUSDT,ls_top_z_1d_n,0.6666666666666666,-0.014103393721597222
UNIUSDT,oi_chg_1d_n,0.7777777777777778,0.02170091117924011
UNIUSDT,oi_chg_1h_n,0.8888888888888888,0.05320266784238282
UNIUSDT,oi_chg_4h_n,0.8888888888888888,0.06672503172774662
UNIUSDT,oi_z_1d_n,0.6666666666666666,0.009407611280467664
UNIUSDT,oi_z_7d_n,0.7777777777777778,-0.018090874912355004
UNIUSDT,oiv_z_1d_n,0.7777777777777778,-0.0016072776025669376
WLDUSDT,ls_count_chg_4h_n,1.0,0.08109040177092447
WLDUSDT,ls_count_z_1d_n,1.0,0.025439109408244346
WLDUSDT,ls_taker_chg_4h_n,1.0,-0.00843954998121367
WLDUSDT,ls_taker_z_1d_n,0.7777777777777778,0.0029558318622483707
WLDUSDT,ls_top_z_1d_n,0.5555555555555556,0.021491530293785376
WLDUSDT,oi_chg_1d_n,0.7777777777777778,-0.005818839616180713
WLDUSDT,oi_chg_1h_n,0.6666666666666666,-0.005323043973024476
WLDUSDT,oi_chg_4h_n,1.0,-0.037970237003941934
WLDUSDT,oi_z_1d_n,1.0,-0.021211216896143817
WLDUSDT,oi_z_7d_n,0.6666666666666666,0.0029706545267341425
WLDUSDT,oiv_z_1d_n,1.0,0.018318046975469463
XRPUSDT,ls_count_chg_4h_n,0.8888888888888888,-0.022128829197816446
XRPUSDT,ls_count_z_1d_n,1.0,-0.056404915026978565
XRPUSDT,ls_taker_chg_4h_n,1.0,-0.00946037258859865
XRPUSDT,ls_taker_z_1d_n,1.0,-0.006137654537843805
XRPUSDT,ls_top_z_1d_n,0.8888888888888888,-0.014590406183315462
XRPUSDT,oi_chg_1d_n,0.7777777777777778,0.023549060395014684
XRPUSDT,oi_chg_1h_n,1.0,0.03173919467719818
XRPUSDT,oi_chg_4h_n,1.0,0.04303152906585387
XRPUSDT,oi_z_1d_n,1.0,0.0764645555593002
XRPUSDT,oi_z_7d_n,1.0,0.020393724160415308
XRPUSDT,oiv_z_1d_n,1.0,0.08714517038148498
